block_id,subgroup,sub_class,current_value,actual_value
ICR10_T1,Modules,Complete,304,954
ICR10_T1,Modules,Partially,13,954
ICR10_T1,Modules,Incomplete,637,954
ICR10_T1,MMS,Partially,6,954
ICR10_T1,MMS,Complete,948,954
ICR10_T1,MMS,Incomplete,0,954
ICR10_T1,Piling,Pile Casting,5724,5724
ICR10_T1,Piling,Auguring,5724,5724
ICR10_T1,Piling,Marking,5724,5724
ICR10_T1,Piling,Incomplete,0,5724
ICR3_T2,Modules,Complete,652,941
ICR3_T2,Modules,Partially,1,941
ICR3_T2,Modules,Incomplete,288,941
ICR3_T2,MMS,Partially,17,941
ICR3_T2,MMS,Complete,914,941
ICR3_T2,MMS,Incomplete,10,941
ICR3_T2,Piling,Pile Casting,5635,5642
ICR3_T2,Piling,Auguring,5635,5642
ICR3_T2,Piling,Marking,5635,5642
ICR3_T2,Piling,Incomplete,7,5642
ICR16_T2,Modules,Complete,0,973
ICR16_T2,Modules,Partially,0,973
ICR16_T2,Modules,Incomplete,973,973
ICR16_T2,MMS,Partially,305,973
ICR16_T2,MMS,Complete,647,973
ICR16_T2,MMS,Incomplete,21,973
ICR16_T2,Piling,Pile Casting,5818,5818
ICR16_T2,Piling,Auguring,5818,5818
ICR16_T2,Piling,Marking,5818,5818
ICR16_T2,Piling,Incomplete,0,5818
ICR4_T1,Modules,Complete,519,946
ICR4_T1,Modules,Partially,19,946
ICR4_T1,Modules,Incomplete,408,946
ICR4_T1,MMS,Partially,101,946
ICR4_T1,MMS,Complete,835,946
ICR4_T1,MMS,Incomplete,10,946
ICR4_T1,Piling,Pile Casting,5652,5652
ICR4_T1,Piling,Auguring,5652,5652
ICR4_T1,Piling,Marking,5652,5652
ICR4_T1,Piling,Incomplete,0,5652
ICR14_T1,Modules,Complete,0,954
ICR14_T1,Modules,Partially,0,954
ICR14_T1,Modules,Incomplete,954,954
ICR14_T1,MMS,Partially,40,954
ICR14_T1,MMS,Complete,884,954
ICR14_T1,MMS,Incomplete,30,954
ICR14_T1,Piling,Pile Casting,5723,5724
